,ASTI R&D Indicators: ASTI-Expenditures,ASTI R&D Indicators: ASTI-Researchers,Food Balance: Commodity Balances - Crops Primary Equivalent,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,Food Balance: Food Supply - Crops Primary Equivalent,Investment: Country Investment Statistics Profile,Food Balance: Food Supply - Livestock and Fish Primary Equivalent,Prices: Consumer Price Indices,Macro-Statistics: Capital Stock,Investment: Development Flows to Agriculture,Agri-Environmental Indicators: Fertilizers indicators,Agri-Environmental Indicators: Emissions intensities,Agri-Environmental Indicators: Livestock Patterns,Agri-Environmental Indicators: Land use indicators,Agri-Environmental Indicators: Emissions shares,Agri-Environmental Indicators: Livestock Manure,Agri-Environmental Indicators: Pesticides indicators,Agri-Environmental Indicators: Temperature change,Emergency Response: Food Aid Shipments (WFP),Food Balance: New Food Balances,Food Balance: Food Balances (old methodology and population),Investment: Foreign Direct Investment (FDI),Forestry: Forestry Production and Trade,Food Security: Suite of Food Security Indicators,Forestry: Forestry Trade Flows,Emissions - Agriculture: Crop Residues,Emissions - Agriculture: Burning - Crop Residues,Emissions - Land Use: Cropland,Emissions - Agriculture: Enteric Fermentation,Emissions - Land Use: Forest Land,Emissions - Land Use: Grassland,Emissions - Agriculture: Burning - Savanna,Emissions - Land Use: Burning - Biomass,Emissions - Land Use: Land Use Total,Emissions - Agriculture: Manure Management,Emissions - Agriculture: Energy Use,Emissions - Agriculture: Manure left on Pasture,Emissions - Agriculture: Rice Cultivation,Emissions - Agriculture: Agriculture Total,Emissions - Agriculture: Manure applied to Soils,Emissions - Agriculture: Cultivation of Organic Soils,Emissions - Agriculture: Synthetic Fertilizers,"Food Security: Indicators from Household Surveys (gender, area, socioeconomics)",Investment: Credit to Agriculture,Investment: Government Expenditure,Agri-Environmental Indicators: Land Cover,Macro-Statistics: Macro Indicators,Population: Annual population,Inputs: Employment Indicators,Prices: Producer Prices (old series),Prices: Deflators,Prices: Exchange rates - Annual,Prices: Producer Prices,Production: Live Animals,Production: Crops,Production: Crops processed,Production: Production Indices,Production: Livestock Primary,Production: Livestock Processed,Production: Value of Agricultural Production,Inputs: Fertilizers archive,Inputs: Fertilizers by Product,Inputs: Fertilizers by Nutrient,Inputs: Land Use,Investment: Machinery,Inputs: Pesticides Use,Inputs: Pesticides Trade,Investment: Machinery Archive,Trade: Live animals,Trade: Trade Indices,Trade: Detailed trade matrix,Trade: Crops and livestock products
0,http://fenixservices.fao.org/faostat/static/bulkdownloads/ASTI_Expenditures_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/ASTI_Researchers_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/CommodityBalances_Crops_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/CommodityBalances_LivestockFish_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/FoodSupply_Crops_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_CountryInvestmentStatisticsProfile_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/FoodSupply_LivestockFish_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/ConsumerPriceIndices_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_CapitalStock_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Development_Assistance_to_Agriculture_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_Fertilizers_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_Emissions_intensities_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_LivestockPatterns_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_LandUse_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_Emissions_by_Sector_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_LivestockManure_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_Pesticides_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_Temperature_change_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Food_Aid_Shipments_WFP_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/FoodBalanceSheets_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/FoodBalanceSheetsHistoric_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_ForeignDirectInvestment_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Forestry_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Food_Security_Data_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Forestry_Trade_Flows_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Crop_Residues_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Burning_crop_residues_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Land_Use_Cropland_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Enteric_Fermentation_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Land_Use_Forest_Land_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Land_Use_Grassland_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Burning_Savanna_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Land_Use_Burning_Biomass_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Land_Use_Land_Use_Total_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Manure_Management_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Energy_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Manure_left_on_pasture_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Rice_Cultivation_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Agriculture_total_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Manure_applied_to_soils_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Cultivated_Organic_Soils_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Emissions_Agriculture_Synthetic_Fertilizers_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Indicators_from_Household_Surveys_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_CreditAgriculture_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_GovernmentExpenditure_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Environment_LandCover_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Population_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Employment_Indicators_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/PricesArchive_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Deflators_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Exchange_rate_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Prices_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_Livestock_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_Crops_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_CropsProcessed_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_Indices_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_LivestockPrimary_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Production_LivestockProcessed_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Value_of_Production_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_FertilizersArchive_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_FertilizersProduct_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_FertilizersNutrient_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_LandUse_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_Machinery_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_Pesticides_Use_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_Pesticides_Trade_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Investment_MachineryArchive_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_LiveAnimals_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_Indices_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_DetailedTradeMatrix_E_All_Data_(Normalized).zip,http://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_Crops_Livestock_E_All_Data_(Normalized).zip
1,2019-11-11,2019-11-11,2018-01-16,2018-01-17,2018-02-05,2018-12-19,2018-01-17,2020-11-03,2020-05-19,2020-05-25,2020-09-08,2019-11-27,2020-09-10,2020-09-10,2020-02-18,2020-09-10,2020-09-10,2020-03-10,2016-12-22,2020-02-19,2017-12-12,2019-11-11,2020-08-18,2020-08-06,2019-06-19,2019-06-10,2019-06-10,2020-04-20,2020-09-10,2020-07-21,2020-04-20,2019-07-11,2019-10-31,2019-10-31,2020-09-10,2016-01-08,2020-09-10,2019-06-10,2019-09-16,2020-09-10,2020-04-20,2019-09-16,2014-07-31,2019-11-12,2019-10-11,2020-09-10,2020-06-11,2019-12-16,2020-04-03,1991-12-31,2020-05-25,2020-05-25,2020-05-25,2020-03-04,2020-09-14,2017-05-17,2020-11-03,2020-05-25,2017-05-17,2020-11-03,2020-09-08,2020-09-09,2020-09-09,2020-09-10,2018-01-16,2020-09-10,2020-06-12,2018-01-16,2020-08-26,2020-10-09,2020-08-07,2020-08-26
